"variable","outliers","pct_outliers"
"Age",0,0
"DailyRate",0,0
"DistanceFromHome",0,0
"Education",0,0
"EnvironmentSatisfaction",0,0
"HourlyRate",0,0
"JobInvolvement",0,0
"JobLevel",0,0
"JobSatisfaction",0,0
"MonthlyIncome",114,7.8
"MonthlyRate",0,0
"NumCompaniesWorked",52,3.5
"PercentSalaryHike",0,0
"PerformanceRating",226,15.4
"RelationshipSatisfaction",0,0
"StockOptionLevel",85,5.8
"TotalWorkingYears",63,4.3
"TrainingTimesLastYear",238,16.2
"WorkLifeBalance",0,0
"YearsAtCompany",104,7.1
"YearsInCurrentRole",21,1.4
"YearsSinceLastPromotion",107,7.3
"YearsWithCurrManager",14,1
