".threshold",".metric",".estimator",".estimate"
0.05,"j_index","binary",0.382357357357357
0.06,"j_index","binary",0.387012012012012
0.07,"j_index","binary",0.385885885885886
0.08,"j_index","binary",0.371621621621621
0.09,"j_index","binary",0.385135135135135
0.1,"j_index","binary",0.354279279279279
0.11,"j_index","binary",0.353528528528529
0.12,"j_index","binary",0.367042042042042
0.13,"j_index","binary",0.380555555555556
0.14,"j_index","binary",0.374774774774775
0.15,"j_index","binary",0.393693693693694
0.16,"j_index","binary",0.415315315315315
0.17,"j_index","binary",0.412237237237237
0.18,"j_index","binary",0.411861861861862
0.19,"j_index","binary",0.381006006006006
0.2,"j_index","binary",0.380630630630631
0.21,"j_index","binary",0.388738738738739
0.22,"j_index","binary",0.402252252252252
0.23,"j_index","binary",0.41036036036036
0.24,"j_index","binary",0.421171171171171
0.25,"j_index","binary",0.423873873873874
0.26,"j_index","binary",0.437387387387387
0.27,"j_index","binary",0.431606606606607
0.28,"j_index","binary",0.442417417417417
0.29,"j_index","binary",0.450525525525526
0.3,"j_index","binary",0.453228228228228
0.31,"j_index","binary",0.455930930930931
0.32,"j_index","binary",0.458633633633634
0.33,"j_index","binary",0.455555555555556
0.34,"j_index","binary",0.455555555555556
0.35,"j_index","binary",0.427777777777778
0.36,"j_index","binary",0.43048048048048
0.37,"j_index","binary",0.427402402402402
0.38,"j_index","binary",0.421621621621622
0.39,"j_index","binary",0.413138138138138
0.4,"j_index","binary",0.415840840840841
0.41,"j_index","binary",0.423948948948949
0.42,"j_index","binary",0.387687687687688
0.43,"j_index","binary",0.376501501501501
0.44,"j_index","binary",0.348723723723724
0.45,"j_index","binary",0.320945945945946
0.46,"j_index","binary",0.320945945945946
0.47,"j_index","binary",0.320945945945946
0.48,"j_index","binary",0.307057057057057
0.49,"j_index","binary",0.307057057057057
0.5,"j_index","binary",0.30975975975976
0.51,"j_index","binary",0.298573573573574
0.52,"j_index","binary",0.303978978978979
0.53,"j_index","binary",0.29009009009009
0.54,"j_index","binary",0.292792792792793
0.55,"j_index","binary",0.281606606606607
0.56,"j_index","binary",0.27042042042042
0.57,"j_index","binary",0.256531531531532
0.58,"j_index","binary",0.256531531531532
0.59,"j_index","binary",0.259234234234234
0.6,"j_index","binary",0.261936936936937
0.61,"j_index","binary",0.261936936936937
